# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:43 CDT 2022 [seed=1651335642522]
# cytb_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
24000	-15426.950618252155	-21.59518867000061	-15405.355429582154	0.7481462631516479	4.248686737653553	0.6508541864603845	3.5576905339797373	0.29358364849665375	0.2659001235473894	0.15234753326717954	0.28816869468877726	1.0	1.0	-15405.355429582154	0.0	-21.382049354214512
25000	-15437.925312012114	-20.912876873486688	-15417.012435138628	0.7576620811521935	4.276394163050282	0.7555807683189376	3.4516226828600267	0.29746228157197563	0.2638522441232593	0.15533885541736622	0.28334661888739876	1.0	1.0	-15417.012435138628	0.0	-20.585723453956547
26000	-15436.11578392125	-21.34369015495699	-15414.772093766293	0.7327441997585417	4.0943792146503215	0.6005695334605005	3.522027360421936	0.2915923407380792	0.26473654382761164	0.15883329989850745	0.28483781553580156	1.0	1.0	-15414.772093766293	0.0	-21.222735595974253
27000	-15430.376761903854	-21.36015089574415	-15409.01661100811	0.7511876112106478	4.206125918118503	0.7244401259144159	3.276036699087701	0.2915923407380792	0.2712991920651741	0.15227065166094497	0.28483781553580156	1.0	1.0	-15409.01661100811	0.0	-21.13440371077177
28000	-15432.08146265602	-21.65043056131025	-15410.43103209471	0.7681195992985798	4.264185064015539	1.0709771526868113	3.4073741916522544	0.2812859296120891	0.2748339143482483	0.16001768240585168	0.28386247363381084	1.0	1.0	-15410.43103209471	0.0	-20.98925859804711
29000	-15431.375202174599	-23.29786969246058	-15408.077332482138	0.7273406345707886	4.191996863847157	1.3317593488060102	3.369398291137548	0.27957200486680256	0.2681047510422133	0.15440877340503	0.297914470685954	1.0	1.0	-15408.077332482138	0.0	-22.431556564948266
30000	-15441.652254124947	-21.099631377779648	-15420.552622747167	0.7279481242665091	4.15965352781481	1.093367446545836	3.11586390558787	0.27246180882743515	0.2701760783444124	0.16231176353687965	0.2950503492912727	1.0	1.0	-15420.552622747167	0.0	-20.517577093564995
31000	-15435.130354928007	-22.064771796512773	-15413.065583131494	0.7658078103903746	4.29975349098477	1.1121142537008188	3.35873146305804	0.2715004608891646	0.27491452670923694	0.1611877949927609	0.29239721740883745	1.0	1.0	-15413.065583131494	0.0	-21.38229998470963
32000	-15437.983269856486	-21.208119197259855	-15416.775150659227	0.6944102097503697	4.106567478689877	0.9764807315271986	3.4369316764727933	0.28116932244253645	0.2720251587914427	0.15599716768622424	0.2908083510797965	1.0	1.0	-15416.775150659227	0.0	-20.629408968065356
33000	-15439.881434431118	-20.265551028101147	-15419.615883403016	0.7352825576423824	4.072531792973872	0.8029468340501439	3.4369316764727933	0.2776519325536453	0.2709453801663058	0.16410648579316178	0.287296201486887	1.0	1.0	-15419.615883403016	0.0	-19.882507314247846
34000	-15437.300828196074	-20.43523106138236	-15416.86559713469	0.7304998624312993	4.1204614980280185	0.9804269308048117	3.321289098816117	0.2796506589195471	0.2681326646039108	0.15663313589166952	0.2955835405848725	1.0	1.0	-15416.86559713469	0.0	-19.89147739167711
35000	-15430.37563588355	-21.33769049976553	-15409.037945383785	0.758300413707945	4.259915021003331	0.8795678360064227	3.321289098816117	0.2867244331281811	0.2731455459456565	0.15785841215582883	0.2822716087703335	1.0	1.0	-15409.037945383785	0.0	-20.902494259139974
36000	-15431.263407490278	-20.533030904012236	-15410.730376586265	0.7025187304573111	4.14950007415713	0.774917936927465	3.4411704652891415	0.28755675711118633	0.268064842935407	0.16047074996488495	0.28390764998852164	1.0	1.0	-15410.730376586265	0.0	-20.184100481562037
37000	-15432.983990672838	-21.512943684499795	-15411.471046988338	0.7429461318455177	4.321305445482402	0.8491359294086507	3.37772231579171	0.2939565123723745	0.26815380006271355	0.15841050538234083	0.279479182182571	1.0	1.0	-15411.471046988338	0.0	-21.09385896538949
