# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:19 CDT 2022 [seed=1651335618860]
# 16s_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
51000	-37057.04024473522	-23.191646507642545	-37033.848598227574	0.22746272262242978	2.7403203809620993	1.3359684076929597	2.9473678413823325	0.3257926074055225	0.2524218352392691	0.12134864338808055	0.30043691396712796	1.0	1.0	-37033.848598227574	0.0	-22.468659962396963
52000	-37058.92489260523	-21.120782074075905	-37037.80411053116	0.2175109450140581	2.669415691444812	1.0256943228208237	2.7778547907473206	0.3294708288629761	0.2530989872968441	0.11444348249770891	0.302986701342471	1.0	1.0	-37037.80411053116	0.0	-20.72326032274167
53000	-37051.59115803771	-21.32975724351613	-37030.26140079419	0.2213932314115522	2.6568918936321557	1.1521971407457636	2.803411220611369	0.3224066115229459	0.24775992777865696	0.12190316977806072	0.3079302909203365	1.0	1.0	-37030.26140079419	0.0	-20.80662268882781
54000	-37055.31008489212	-22.085035639125792	-37033.22504925299	0.22300617635495198	2.8158714522585413	0.9952035276481198	2.7827016834383254	0.32639799754324955	0.2557380573271864	0.12190316977806072	0.29596077535150345	1.0	1.0	-37033.22504925299	0.0	-21.71592319878855
55000	-37050.33106494863	-19.96533919878466	-37030.36572574985	0.22307900033547765	2.668875520428846	0.9658124374564777	2.7827016834383254	0.32144400171739784	0.25445512359438544	0.119967661885074	0.3041332128031428	1.0	1.0	-37030.36572574985	0.0	-19.62620437385205
56000	-37049.55447016497	-19.361108467012734	-37030.19336169796	0.21784333869625733	2.620905499753282	0.825488169804616	2.8596865507893736	0.3228806398409421	0.2571435032426798	0.11584264411323536	0.3041332128031428	1.0	1.0	-37030.19336169796	0.0	-19.151031230342216
57000	-37047.64582103045	-19.159541209083876	-37028.486279821365	0.22500941966176916	2.6449462448598826	0.7991191111917345	2.8406334743589268	0.32475608050357924	0.25353077515060063	0.11980971809002014	0.30190342625580013	1.0	1.0	-37028.486279821365	0.0	-18.988816498339613
58000	-37050.033373858285	-20.125160277570032	-37029.90821358072	0.22098981247057736	2.6336629991131857	1.0378851527130146	2.8406282171202295	0.3269804601222009	0.25234933212123023	0.11980971809002014	0.3008604896665489	1.0	1.0	-37029.90821358072	0.0	-19.693007064945963
59000	-37050.81032946602	-20.42071155349955	-37030.389617912515	0.21605146575166406	2.634155319423242	0.7963040442568401	2.5117455270100004	0.3259833147245679	0.25432998532977613	0.12273376531918742	0.2969529346264687	1.0	1.0	-37030.389617912515	0.0	-20.375186963174684
60000	-37050.828232430424	-19.765243388907006	-37031.062989041515	0.21171638030550785	2.5721728067918854	1.0038891370201106	2.6727434483891237	0.32350655520739363	0.2537982034087132	0.12573403178609158	0.29696120959780176	1.0	1.0	-37031.062989041515	0.0	-19.427842389928873
